Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,1254000,1272000,1249000,1266000,24426,0.003965107057890549,-0.0102,0.1000000014901161
2020-01-03,1273000,1282000,1259000,1263000,29170,-0.0023696682464454666,0.0006,0.3000000119209289
2020-01-06,1252000,1269000,1249000,1249000,19929,-0.011084718923198733,-0.0098,0.1000000014901161
2020-01-07,1262000,1347000,1251000,1343000,62787,0.07526020816653323,0.0095,0.1000000014901161
2020-01-08,1314000,1350000,1313000,1345000,43472,0.0014892032762472418,-0.0111,0.0
2020-01-08,1314000,1350000,1313000,1345000,43472,0.0014892032762472418,-0.0111,0.2000000029802322
2020-01-13,1344000,1425000,1343000,1404000,49449,0.045420699925539765,0.0104,0.0
2020-01-13,1344000,1425000,1343000,1404000,49449,0.045420699925539765,0.0104,0.2000000029802322
2020-01-14,1446000,1446000,1402000,1411000,47813,0.004985754985755042,0.0043,0.2000000029802322
2020-01-17,1406000,1423000,1402000,1406000,35291,0.000711743772241924,0.0011,0.1000000014901161
2020-01-20,1407000,1423000,1377000,1387000,45475,-0.013513513513513487,0.0054,0.0
2020-01-22,1355000,1368000,1352000,1368000,39024,0.01861504095309008,0.0123,0.1000000014901161
2020-01-28,1302000,1309000,1252000,1253000,98803,-0.07116382505559671,-0.030899999999999997,0.1000000014901161
2020-01-28,1302000,1309000,1252000,1253000,98803,-0.07116382505559671,-0.030899999999999997,0.0
2020-01-29,1287000,1317000,1262000,1296000,132198,0.03431763766959306,0.0039000000000000003,0.3000000119209289
2020-01-29,1287000,1317000,1262000,1296000,132198,0.03431763766959306,0.0039000000000000003,0.2000000029802322
2020-01-29,1287000,1317000,1262000,1296000,132198,0.03431763766959306,0.0039000000000000003,0.0
2020-01-30,1294000,1296000,1258000,1262000,72600,-0.026234567901234573,-0.0171,0.3000000119209289
2020-01-31,1275000,1278000,1256000,1258000,50358,-0.0031695721077654726,-0.013500000000000002,0.0
